item_code,name,description,status,is_rentable,category,cost_code,item_unit
LUS210,LUS210,LUS210,1,0,EWP,2/06/18,ea
LUS28,LUS28,LUS28,1,0,EWP,2/06/18,ea
LUS2102,LUS2102,LUS2102,1,0,EWP,2/06/18,ea
LUS282,LUS282,LUS282,1,0,EWP,2/06/18,ea
482332OSBEGTG,"4X8x23/32"" Edge Gold Panel ","4X8x23/32"" Edge Gold Panel ",1,0,EWP,2/06/18,ea
481932OSBEGTG,"4X8x19/32"" Edge Gold Panel ","4X8x19/32"" Edge Gold Panel ",1,0,EWP,2/06/18,ea
481932OSBSQ,"4X8x19/32"" OSB Sqaure Edge","4X8x19/32"" OSB Sqaure Edge",1,0,EWP,2/06/18,ea
482332OSBSQ,"4X8x23/32"" OSB Sqaure Edge","4X8x23/32"" OSB Sqaure Edge",1,0,EWP,2/06/18,ea
4878OSBEGTG,"4X8x7/8"" OSB T&G PANEL","4X8x7/8"" OSB T&G PANEL",1,0,EWP,2/06/18,ea
481932OSBTG,"4X8x19/32"" OSB T&G PANEL","4X8x19/32"" OSB T&G PANEL",1,0,EWP,2/06/18,ea
482332OSBTG,"4X8x23/32"" OSB T&G PANEL","4X8x23/32"" OSB T&G PANEL",1,0,EWP,2/06/18,ea
4858FIRTG,"4X8x5/8"" FIR T&G PLY ","4X8x5/8"" FIR T&G PLY ",1,0,EWP,2/06/18,ea
4834FIRTG,"4X8x3/4"" FIR T&G PLY ","4X8x3/4"" FIR T&G PLY ",1,0,EWP,2/06/18,ea
1212COMN,1 X 2 - 12 COMMON LUMBER,1 X 2 - 12 COMMON LUMBER,1,0,Lumber,2/06/10,ea
1412COMN,1 X 4 - 12 COMMON LBR,1 X 4 - 12 COMMON LBR,1,0,Lumber,2/06/10,ea
2408SPFKD,2 X 4 - 08 2BTR KD SPRUCE,2 X 4 - 08 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2410SPFKD,2 X 4 - 10 2BTR KD SPRUCE,2 X 4 - 10 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2412SPFKD,2 X 4 - 12 2BTR KD SPRUCE,2 X 4 - 12 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2414SPFKD,2 X 4 - 14 2BTR KD SPRUCE,2 X 4 - 14 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2416SFKD,2 X 4 - 16 2BTR KD SPRUCE,2 X 4 - 16 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2418SPFKD,2 X 4 - 18 2BTR KD SPRUCE,2 X 4 - 18 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2420SPFKD,2 X 4 - 20 2BTR KD SPRUCE,2 X 4 - 20 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2608SPFKD,2 X 6 - 08 2BTR KD SPRUCE,2 X 6 - 08 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2610SPFKD,2 X 6 - 10 2BTR KD SPRUCE,2 X 6 - 10 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2612SPFDK,2 X 6 - 12 2BTR KD SPRUCE,2 X 6 - 12 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2612PSFKD,2 X 6 - 14 2BTR KD SPRUCE,2 X 6 - 14 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2616SPFKD,2 X 6 - 16 2BTR KD SPRUCE,2 X 6 - 16 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2618SPFKD,2 X 6 - 18 2BTR KD SPRUCE,2 X 6 - 18 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2620SPFKD,2 X 6 - 20 2BTR KD SPRUCE,2 X 6 - 20 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2810SPFKDA,2 X 8 - 10 A-GRADE KD SPRUCE,2 X 8 - 10 A-GRADE KD SPRUCE,1,0,Lumber,2/06/10,ea
2812SPFKDA,2 X 8 - 12 A-GRADE KD SPRUCE,2 X 8 - 12 A-GRADE KD SPRUCE,1,0,Lumber,2/06/10,ea
2816SPFKDHT,2 X 8 - 16 2BTR KD-HT SPRUCE,2 X 8 - 16 2BTR KD-HT SPRUCE,1,0,Lumber,2/06/10,ea
21012SPFKD,2 X 10 - 12 2BTR KD SPRUCE,2 X 10 - 12 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
21014SPFKD,2 X 10 - 14 2BTR KD SPRUCE,2 X 10 - 14 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
21016SPFKD,2 X 10 - 16 2BTR KD SPRUCE,2 X 10 - 16 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
21018SPFKD,2 X 10 - 18 2BTR KD SPRUCE,2 X 10 - 18 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
21020SPFKD,2 X 10 - 20 2BTR KD SPRUCE,2 X 10 - 20 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
21212SPFKD,2 X 12 - 12 2BTR KD SPRUCE,2 X 12 - 12 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
21214SPFKD,2 X 12 - 14 2BTR KD SPRUCE,2 X 12 - 14 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
21216SPFKD,1 X 12 - 16 2BTR KD SPRUCE,1 X 12 - 16 2BTR KD SPRUCE,1,0,Lumber,2/06/10,ea
2414FIRKD,2 X 4 - 14 2BTR KD FIR,2 X 4 - 14 2BTR KD FIR,1,0,Lumber,2/06/10,ea
2420FIRKD,2 X 4 - 20 2BTR KD FIR,2 X 4 - 20 2BTR KD FIR,1,0,Lumber,2/06/10,ea
2614FIRKD,2 X 6 - 14 2BTR KD FIR,2 X 6 - 14 2BTR KD FIR,1,0,Lumber,2/06/10,ea
2620FIRKD,2 X 6 - 20 2BTR KD FIR,2 X 6 - 20 2BTR KD FIR,1,0,Lumber,2/06/10,ea
