Item Code,Item Name,Description,Item Cost Code,Item Category,UOM,Rentable
LVL1341178(2.0E),"1 3/4"" x 11 7/8"" 2.0 Microllam LVL ","1 3/4"" x 11 7/8"" 2.0 Microllam LVL ",2-06-18,EWP,ea,NO
LVL13414(2.0E),"1 3/4"" x 14"" 2.0 Microllam LVL ","1 3/4"" x 14"" 2.0 Microllam LVL ",2-06-18,EWP,ea,NO
LVL13416(2.0E),"1 3/4"" x 16"" 2.0 Microllam LVL ","1 3/4"" x 16"" 2.0 Microllam LVL ",2-06-18,EWP,ea,NO
LVL13418(2.0E),"1 3/4"" x 18"" 2.0 Microllam LVL ","1 3/4"" x 18"" 2.0 Microllam LVL ",2-06-18,EWP,ea,NO
TJI230912,"TJI Joist 230 9 1/2"" ","TJI Joist 230 9 1/2"" ",2-06-18,EWP,ea,NO
TJI2301178,"TJI Joist 230 11 7/8"" ","TJI Joist 230 11 7/8"" ",2-06-18,EWP,ea,NO
TJI23014,"TJI Joist 230 14"" ","TJI Joist 230 14"" ",2-06-18,EWP,ea,NO
TJI23016,"TJI Joist 230 16"" ","TJI Joist 230 16"" ",2-06-18,EWP,ea,NO
TJI360912,"TJI Joist 360 9 1/2"" ","TJI Joist 360 9 1/2"" ",2-06-18,EWP,ea,NO
TJI3601178,"TJI Joist 360 11 7/8"" ","TJI Joist 360 11 7/8"" ",2-06-18,EWP,ea,NO
TJI36014,"TJI Joist 360 14"" ","TJI Joist 360 14"" ",2-06-18,EWP,ea,NO
TJI36016,"TJI Joist 360 16"" ","TJI Joist 360 16"" ",2-06-18,EWP,ea,NO
TJI5601178,"TJI Joist 560 11 7/8"" ","TJI Joist 560 11 7/8"" ",2-06-18,EWP,ea,NO
TJI56014,"TJI Joist 560 14"" ","TJI Joist 560 14"" ",2-06-18,EWP,ea,NO
TJI56016,"TJI Joist 560 16"" ","TJI Joist 560 16"" ",2-06-18,EWP,ea,NO
ITS2.37/9.5,ITS2.37/9.5,ITS2.37/9.5,2-06-18,EWP,ea,NO
ITS2.37/11.88,ITS2.37/11.88,ITS2.37/11.88,2-06-18,EWP,ea,NO
ITS2.37/14,ITS2.37/14,ITS2.37/14,2-06-18,EWP,ea,NO
ITS2.37/16,ITS2.37/16,ITS2.37/16,2-06-18,EWP,ea,NO
IUS2.37/9.5,IUS2.37/9.5,IUS2.37/9.5,2-06-18,EWP,ea,NO
IUS2.37/11.88,IUS2.37/11.88,IUS2.37/11.88,2-06-18,EWP,ea,NO
